=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/GB/3p-crawl
Date: 2026-03-27T12:16:39.514Z

--- Summary ---
Total JSON files: 99909
Files with potential popups: 80404
Total potential popups: 119532
  └─ AI-confirmed cookie popups: 43161
      └─ No reject buttons: 19592
          └─ No settings buttons: 10259 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 3532 entries) ---
Count | Button Text
    3 | our 60 partners
    3 | accept essential and performance only
    3 | endgeräteeigenschaften zur identifikation aktiv abfragen
    3 | ok, accept all
    3 | política de privacidade
    3 | enable all
    3 | legal warning
    3 | subscribe and decline
    3 | our 980 partners
    3 | detailed settings
    3 | ok, thanks!
    3 | tell me more
    3 | accetto tutti i cookies
    3 | i got it
    3 | nastavení
    3 | souhlasím
    3 | kun nødvendige cookies
    3 | indstillinger
    3 | news
    3 | in questa lista
    3 | servizio di base
    3 | polityki prywatności
    3 | nostri partner
    3 | functional
    3 | advertising
    3 | acepto
    3 | further information
    3 | yes, allow all
    3 | our 979 partners
    3 | read our privacy policy.
    3 | kabul et
    3 | reddet
    3 | mehr erfahren
    3 | موافق
    3 | okay, i agree
    3 | privacy and security policy
    3 | agree continue
    3 | manage cookies...
    3 | cookie management
    3 | tolak
    3 | i choose
    3 | okay!
    3 | 同意する
    3 | show more
    3 | our 14 partners
    3 | start playing
    3 | yes!
    3 | im okay with this
    3 | rozumiem
    3 | dowiedz się więcej
    3 | use cookies
    3 | i am ok with cookies
    3 | cookiescript
    3 | report
    3 | sounds good
    3 | our cookie policy.
    3 | 191
    3 | tillad alle
    3 | only use essential cookies
    3 | ustawienia prywatności
    3 | yes, thats fine
    3 | more information.
    3 | mais opções
    3 | условия
    3 | accept site cookies
    3 | wordpress cookie notice by real cookie banner
    3 | privacy cookie policy.
    3 | zaakceptuj
    3 | anmelden
    3 | always in control
    3 | accept privacy policy
    3 | plus dinformations
    3 | lista zaufanych partnerów
    3 | + info
    3 | αποδοχή όλων
    3 | διαβάστε περισσότερα
    3 | fler alternativ
    3 | wordpress.com network
    3 | online privacy policy
    3 | checkok
    3 | blog
    3 | kontakt
    3 | ok, i accept
    3 | find out about the cookies we have set and how we use them
    3 | learn more about our privacy policy
    3 | zaufanych partnerów tvp
    3 | zaufanych partnerów z iab
    3 | zaufanych partnerów tvp (93 firm)
    3 | zaufanych partnerów z iab* (1111 firm)
    3 | sure!
    3 | cookie 設定
    3 | im ok with analytics cookies
    3 | yes, i accept cookies
    3 | happy to help
    3 | im ok with useability cookies
    3 | link
    3 | i agree - enter
    3 | learn about cookies
    3 | privacy security.
    3 | tc
    3 | lagra ocheller få åtkomst till information på en enhet
    3 | liste complète
    3 | our 11 partners
    3 | learn more about cookies on this site.
    3 | accept cookies on this site.
    3 | tümünü kabul et
    3 | reject non essential
    3 | ich lehne ab
    3 | terze parti
    3 | рекомендательные технологии
    3 | i like cookies
    3 | tümünü reddet
    3 | agree to our privacy policy
    3 | gestisci le opzioni
    3 | dont accept
    3 | yes, thats ok
    3 | view our cookies information page
    3 | cookies information
    3 | read privacy policy
    3 | find out more here.
    3 | reject the use of all cookies
    3 | asacp
    3 | derbyn pob cwci
    3 | podrobné nastavení
    3 | identifiants partagés
    3 | espace de confidentialité
    3 | didentifiants partagés
    3 | partenaires
    3 | cymraeg
    3 | okej
    3 | inställningar
    3 | webbplatser och appar där bonnier news ab tillhandahåller sina tjänster
    3 | dostosuj zgody
    3 | i agree, dismiss this banner
    3 | accept all close
    3 | no thanks, only essential cookies
    3 | apply settings
    3 | aceptar cookies
    3 | персонализация
    3 | actividades de marketing digital o análisis
    3 | conexión a internet habilitada
    3 | evästeasetukset
    3 | lista partnerów (dostawców)
    3 | manage tracking
    3 | nutzungsbedingungen
    3 | hier einloggen
    3 | akzeptieren und weiter
    3 | https:ico.org.ukfor-the-publiconlinecookies
    3 | para mais informações sobre os cookies e os dados recolhidos, consulte a nossa política de privacidade.
    3 | log on
    3 | skip to main content
    3 | data privacy
    3 | close cookie banner
    3 | impostazioni cookie
    3 | i am happy with this
    3 | più opzioni
    3 | use recommended settings
    3 | review your privacy settings
    3 | i agree, enter
    3 | déjà abonné ? se connecter
    3 | accepter fermer
    3 | join now
    3 | cookie policy. (opens in a new window)
    3 | im ok with this
    3 | read policy
    3 | view cookies policy.
    3 | akzeptieren weiter
    3 | widerrufen
    3 | let me choose which cookies i want
    3 | technical necessary information
    2 | data policy
    2 | more info.
    2 | see our privacy policy for more information.
    2 | cookies and similar technologies
    2 | visit our cookie policy
    2 | i understand.
    2 | refuser et sabonner
    2 | paramétrer les cookies
    2 | politique cookies
    2 | know more.
    2 | click here to learn more about implementing rta labeling.
    2 | i am under 18 - exit
    2 | i am 18 or older - enter
    2 | enter site
    2 | set up
    2 | политике конфиденциальности
    2 | reject all and subscribe
    2 | 133 partners
    2 | سياسة الخصوصية
    2 | رفض
    2 | قبول
    2 | vain välttämättömät
    2 | order now
    2 | privacy notice for your information
    2 | avvis alle
    2 | learn more about our privacy policy.
    2 | thats okay
    2 | i understand, dont show this
    2 | okay, got it!
    2 | cookie policy,
    2 | globalprivacycontrol.org
    2 | ideas.lego.com
    2 | read more here.
    2 | privatsphäre
    2 | opt in
    2 | you can configure your cookie settings here.
    2 | ok with me
    2 | anonymously
    2 | not accept
    2 | click to close
    2 | details‎
    2 | yes, thats fine!
    2 | es
    2 | подтвердить
    2 | пользовательское соглашение
    2 | see our cookies policy
    2 | free preview
    2 | buy on amazon
    2 | accessibility
    2 | allow essential and optional cookies
    2 | see privacy policy
    2 | acknowledge
    2 | cookie 政策
    2 | политикой конфиденциальности
    2 | order tracking
    2 | +441506537158
    2 | free shipping
    2 | keep disabled
    2 | fine tune
    2 | thats cool
    2 | odmítám vše
    2 | jak chráníme vaše osobní údaje
    2 | ok to all
    2 | ok to necessary
    2 | processing of personal data
    2 | click use of cookies
    2 | i do not accept the use of cookies
    2 | i understand and i accept the use of cookies
    2 | プライバシーポリシー
    2 | mehr optionen
    2 | privatsphäre-einstellungen
    2 | close cookie notification
    2 | read about how we use cookies
    2 | okay, thank you
    2 | tillad udvalgte
    2 | cookie manager
    2 | go to settings
    2 | nasi partnerzy (1050)
    2 | polska press, pro media
    2 | reject learn more
    2 | speichern
    2 | politica sui cookie
    2 | using contentpass already? log in here
    2 | deny ads and subscribe
    2 | agree and continue with ads
    2 | use information that reveal my health data
    2 | storage and access to geolocation information to carry out marketing studies
    2 | storage and access to geolocation information for targeted advertising purposes
    2 | social
    2 | multiplatform analysis
    2 | personal data
    2 | 1002 partners
    2 | free of charge.
    2 | más opciones
    2 | socios
    2 | spersonalizuj
    2 | o plikach cookies
    2 | szczegóły
    2 | zgoda
    2 | read more about our cookie policy
    2 | gdpr
    2 | insights
    2 | investments
    2 | accept all cookies and close
    2 | update my cookie settings
    2 | consult our full cookies policy
    2 | learn more about our use of cookies
    2 | customize reject all accept all
    2 | i am not
    2 | i am 18+
    2 | do not allow cookies
    2 | privacy protection
    2 | hyväksy
    2 | préférences
    2 | yes please
    2 | settings...
    2 | accept recommended settings and close
    2 | count me in
    2 | agreed
    2 | (privacy policy)
    2 | i want more options
    2 | prosseguir
    2 | portal da privacidade
    2 | aviso de privacidade
    2 | continue without accepting x
    2 | confirm selected
    2 | continue without accepting | x
    2 | continue shopping
    2 | columbia university website cookie notice
    2 | απόρριψη
    2 | ρυθμίσεις
    2 | learn more on privacy policy page.
    2 | save decision
    2 | i do not consent.
    2 | i consent.
    2 | learn more and adjust settings
    2 | dont enable
    2 | update preferences
    2 | found here
    2 | the cookie policy
    2 | ok i understand (close)
    2 | more about the cookies
    2 | our 22 partners
    2 | elutasítás
    2 | elfogadás
    2 | kebijakan cookie
    2 | our 982 partners
    2 | already a paying subscriber? log in
    2 | pay to remove ads
    2 | okay for me
    2 | do not consent
    2 | acceptér alle
    2 | læs mere
    2 | how we use cookies
    2 | piekrītu
    2 | i agree and accept cookies
    2 | cookieポリシー
    2 | no problem!
    2 | edit cookies
    2 | manage your cookies here
    2 | pielāgot izvēli
    2 | cookie page
    2 | editing your cookie preferences
    2 | update my preferences
    2 | our 15 partners
    2 | choose which cookies we use
    2 | 利用者情報の外部送信について
    2 | settings or reject
    2 | ok, i got it!
    2 | leave website
    2 | read terms conditions
    2 | i am 18+ enter
    2 | essential only accept all
    2 | google
