=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/CH/3p-crawl
Date: 2026-03-27T14:43:12.382Z

--- Summary ---
Total JSON files: 99894
Files with potential popups: 79976
Total potential popups: 120128
  └─ AI-confirmed cookie popups: 39722
      └─ No reject buttons: 19962
          └─ No settings buttons: 13584 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 5573 entries) ---
Count | Button Text
   12 | confirm selection
   12 | preferenze
   12 | optionen
   12 | nein, individuell entscheiden
   12 | ja, alle erlauben
   12 | alle akzeptieren!
   12 | politique en matière de cookies
   12 | gérer les cookies
   12 | ici
   12 | accepter tous les cookies
   12 | datenschutz-richtlinien
   12 | häufig gestellten fragen (faq)
   12 | anzeigeneinstellungen
   12 | nuestros socios
   12 | find out more
   12 | lire les mentions légales
   12 | essentielle
   11 | wordpress.com network
   11 | ok, ich stimme zu
   11 | verwaltung der cookies
   11 | datenschutzzentrum
   11 | onedoc ag
   11 | meine einstellungen speichern
   11 | non, merci.
   11 | podrobné nastavení
   11 | accetto tutti i cookies
   11 | my-account-bereich
   11 | cookies policy.
   11 | datenschutzhinweise (pur)
   11 | erweiterte einstellungen
   11 | chiudi
   11 | privatsphäre-einstellungen
   11 | dsgvo cookie consent mit real cookie banner
   11 | akceptuję
   11 | pour en savoir plus
   11 | política de privacidade
   11 | ohne werbetracking für 3.99 € monat
   11 | preferenze cookie
   11 | meine auswahl bestätigen
   11 | allgemeine geschäftsbedingungen.
   11 | cookie details
   11 | more
   11 | weitere einstellungen
   11 | rechazar y suscribirse
   11 | godta alle
   11 | datenschutzinformation
   11 | compris
   11 | περισσοτερες επιλογες
   10 | accepter et fermer
   10 | qui
   10 | décliner
   10 | privacy cookie policy
   10 | rechtliche hinweise
   10 | mehr informationen ...
   10 | impressum datenschutz
   10 | weitere informationen.
   10 | cookie consent plugin for the eu cookie law
   10 | notwendige akzeptieren
   10 | détails
   10 | parental control guide
   10 | 18 u.s.c. 2257 record-keeping requirements compliance statement.
   10 | accept selection
   10 | endgeräteeigenschaften zur identifikation aktiv abfragen
   10 | cookie consent manager.
   10 | change here
   10 | cookiescript
   10 | weitere informationen anzeigen
   10 | opt out
   10 | data protection declaration
   10 | de
   10 | learn more...
   10 | mehr über die genutzten cookies erfahren
   10 | alle annehmen
   10 | privacy center
   10 | per saperne di più
   10 | 488 partner
   10 | cookie-einstellungen öffnen
   10 | zustimmen und weiter
   10 | jetzt details ansehen
   10 | refuser non essentiels
   10 | choisir lesquels
   10 | συμφωνω
   10 | διαφωνω
   10 | widerruf
   10 | nicht mehr tracken
    9 | accetta tutto
    9 | partner anzeigen
    9 | en savoir plus.
    9 | tout autoriser
    9 | cookie richtlinie
    9 | принять
    9 | mehr...
    9 | confirm
    9 | autoriser tous les cookies
    9 | verwendung genauer standortdaten
    9 | third parties
    9 | save preferences
    9 | cookie-richtlinie.
    9 | report
    9 | prihvati i zatvori
    9 | acepto
    9 | más opciones
    9 | modifier les préférences
    9 | déclaration de confidentialité
    9 | lire notre politique de cookies
    9 | nichts akzeptieren
    9 | mehr informationen.
    9 | more info.
    9 | unsere 1014 partner
    9 | akkoord
    9 | подробнее
    9 | unsere partner
    9 | evästeasetukset
    9 | analytics storage
    9 | pannello delle preferenze pubblicitarie
    8 | listă parteneri (furnizori)
    8 | aici
    8 | analytische cookies
    8 | hyväksy kaikki
    8 | sabonner
    8 | dismiss this warning
    8 | english▼
    8 | informationen
    8 | clicca qui
    8 | politique de confidentialité.
    8 | nastavení
    8 | configurer
    8 | paramètres de confidentialité
    8 | déclaration de protection des données
    8 | meer informatie
    8 | cookies anzeigen und anpassen
    8 | privatsphäre
    8 | accetta tutti i cookies
    8 | individual settings
    8 | verwendung von cookies
    8 | kun nødvendige
    8 | concordo
    8 | mais opções
    8 | close cookie bar
    8 | saiba mais
    8 | non, merci
    8 | ich akzeptiere cookies
    8 | allow
    8 | .
    8 | configurar cookies
    8 | cookie consent banner von real cookie banner
    8 | accepter alle
    8 | nutzung der utiq-technologie, unterstützt durch ihren telekommunikationsanbieter
    8 | consenthub
    8 | unterstützte internetverbindung
    8 | drittanbietern
    8 | learn more and customise
    8 | asetukset
    8 | alles erlauben
    8 | weitere hinweise
    8 | more infos
    8 | cookie-einstellungen überprüfen
    8 | sharing settings
    8 | inicia sesión
    8 | auswahl einstellen
    8 | mehr darüber erfahren
    8 | configuración de cookies
    7 | privacy preferences
    7 | verlassen
    7 | cookie-einstellungen anpassen
    7 | vreau sa modific setarile individual
    7 | accept toate
    7 | mai multe detalii
    7 | sign up
    7 | odmítnout
    7 | понятно
    7 | info
    7 | en savoir plus...
    7 | erfahre mehr
    7 | alle cookies
    7 | more information...
    7 | hinweis ausblenden
    7 | push-benachrichtigungen kommunikation
    7 | einbindung externer inhalte
    7 | personalisierte anzeigen und inhalte, werbetracking, prüfung utiq-technologie und zugriff auf ihr endgerät
    7 | häufig gestellten fragen (faqs)
    7 | jetzt sichern
    7 | our 8 partners
    7 | individuell verwalten
    7 | alle auswählen und bestätigen
    7 | dritte
    7 | autoriser la sélection
    7 | consentement
    7 | disclaimer
    7 | detaljer
    7 | personnaliser les cookies
    7 | data protection notice
    7 | odrzuć
    7 | here.
    7 | einstellungen bearbeiten
    7 | compris!
    7 | nur essenzielle
    7 | erlauben
    7 | cookies auswählen
    7 | akzeptieren und schließen
    7 | indstillinger
    7 | autoriser les cookies
    7 | in questa lista
    7 | servizio di base
    7 | saznajte više
    7 | opt-out preferences
    7 | hyväksy
    7 | ⓘ alle details
    7 | acceptér alle
    7 | vorlieben
    7 | auswahl anpassen
    7 | akceptuj wszystko
    7 | cookie-policy
    7 | wordpress cookie-hinweis von real cookie banner
    7 | data privacy
    7 | datenschutzmanager aufrufen
    7 | ich stimme nicht zu
    7 | browser add-ons
    7 | nur notwendige zulassen
    7 | datenschutzerklärung von utiq
    7 | utiq jetzt ablehnen
    7 | über 600 andere websites
    7 | actividades de marketing digital o análisis
    7 | conexión a internet habilitada
    7 | aceitar
    7 | informationen zu cookies
    7 | informationen zu cookies und ihre widerspruchsmöglichkeit
    7 | datenschutzerklärung anzeigen
    7 | view cookie policy
    7 | ustawienia zaawansowane
    7 | kabul et
    7 | configuration
    7 | alles accepteren
    7 | werbefrei für 3,99 € monat
    7 | pokračovať s nevyhnutnými cookies
    7 | nuestra política de cookies
    7 | zustimmen weiter
    6 | weitere informationen finden sie in unserer datenschutzerklärung.
    6 | agree close
    6 | ignorieren
    6 | refuser et sabonner
    6 | optionen ansehen
    6 | weitere optionen
    6 | согласен
    6 | data privacy statement
    6 | leggi di più
    6 | gérer les préférences
    6 | precise geolocation data, and identification through device scanning
    6 | à propos des cookies
    6 | scopri di più
    6 | i agree - enter
    6 | details anzeigenausblenden
    6 | tillad alle
    6 | afvis
    6 | no, take me to settings
    6 | nicht akzeptieren
    6 | not accept
    6 | lire la politique des cookies
    6 | ses 979 partenaires (dont 972 partenaires iab)
    6 | show properties
    6 | über uns
    6 | ustawienia prywatności
    6 | ich akzeptiere alle
    6 | ablehnung nicht wesentlicher
    6 | targeting
    6 | performance
    6 | wordpress.com-netzwerk
    6 | nein, danke.
    6 | accetta i cookie
    6 | хорошо
    6 | versant
    6 | aquí
    6 | no, thank you
    6 | sign in
    6 | website betreten
    6 | nicht-essentielle cookies verweigern
    6 | erfahre mehr...
    6 | weitere informationen...
    6 | quitter
    6 | annuler
    6 | wie sie cookies deaktivieren können
    6 | più informazioni
    6 | mehr infos in unseren datenschutzhinweisen.
    6 | lesen sie unsere cookie-richtlinie.
    6 | cookie information
    6 | nem fogadom el
    6 | datenschutz.
    6 | werbefrei für 3.99 € monat
    6 | zezwól na wszystkie
    6 | læs mere
    6 | nur ausgewählte zulassen
    6 | inställningar
    6 | zulassen
    6 | αποδοχή
    6 | polityka prywatności
    6 | akzeptiert
    6 | einstellen
    6 | se vuoi puoi non accettare
    6 | mehr zum datenschutz
    6 | avslå
    6 | verwerfen
    6 | mehr erfahren...
    6 | datenschutzerklärungen
    6 | prijať všetko
    6 | personalisierte werbung
    6 | à quoi servent les cookies ?
    6 | partenaires (239)
    6 | reddet
    6 | oui, jaccepte
    6 | tümünü kabul et
    6 | accetta selezionati
    6 | see details
    6 | continua con essenziali
    6 | only accept necessary cookies
    6 | in unseren faq
    6 | anmeldung für abonnenten
    6 | datenschutzinformationszentrum
    6 | oui, je suis daccord
    6 | telecom operator
    6 | unserer datenschutzerklärung
    6 | refuser sabonner
    6 | nos 254 partenaires
    6 | privacy-manager
    6 | patrouillenritt
    6 | our 11 partners
    5 | verwalten
    5 | aceptar cookies
    5 | instagram
    5 | italiano
    5 | stimme zu
    5 | ovdje
    5 | i agree, dismiss this banner
    5 | uses cookies to improve your experience
    5 | choisir
    5 | widerrufen
    5 | cookie-einwilligung mit real cookie banner
    5 | richtlinien für datenschutz und verwendung von cookies
    5 | our cookie policy
    5 | confirm my choices
    5 | learn more about cookies
    5 | voreinstellungen anzeigen
    5 | google privacy site.
    5 | annehmen und schließen
    5 | wordpress cookie notice by real cookie banner
    5 | reject pay
    5 | zum datenschutz
    5 | om
    5 | ok, verstanden.
    5 | rechazar y pagar
    5 | apply settings
    5 | read our privacy policy
    5 | nur funktionsfähig
    5 | ustawienia
    5 | akceptuj
    5 | przejdź do serwisu
    5 | polityce cookies
    5 | cookie informationen anzeigen
    5 | individuelle datenschutz-präferenzen
    5 | funktionalität
    5 | unbedingt erforderlich
    5 | googles datenschutzbestimmungen
    5 | отклонить
    5 | view our 161 partners
    5 | lire les informations légales
    5 | cookie consent
    5 | ok, ich akzeptiere
    5 | configuración
    5 | fr
    5 | aceitar e fechar
    5 | protection des données personnelles
    5 | jai compris !
    5 | cookies.
    5 | guide sur le contrôle parental
    5 | 18 u.s.c. 2257 déclaration de conformité relative aux exigences en matière de conservation des documents
    5 | jai plus de 18 ans
    5 | gérer les paramètres
    5 | acceptez fermer
    5 | zgadzam się
    5 | data privacy policy
    5 | alle speichern
    5 | alle einstellungen anzeigen.
    5 | allow selected cookies
    5 | cookie statement
    5 | ich bin damit einverstanden
    5 | zurückweisen
    5 | einstellung
    5 | select all
    5 | list of our partners
    5 | odrzuć wszystkie
    5 | akceptuj wszystkie
    5 | cookie-einstellungen ändern
    5 | tc
    5 | datenschutz-erklärung
    5 | details...
    5 | aceptar y cerrar
    5 | abzulehnen
    5 | plus dinformation
    5 | only the necessary cookies
    5 | hier ansehen
    5 | cookiebeleid
    5 | voir en détail
    5 | accepter alle cookies
    5 | cookiepolitik
    5 | fortfahren
    5 | súhlasím
    5 | fler alternativ
    5 | impostazioni dei cookie
    5 | aceptar todas
    5 | statistiken
    5 | notwendig
    5 | further information
    5 | - impressum
    5 | partnern
    5 | akceptuję i przechodzę do serwisu
    5 | personalisierung
    5 | ajustes
    5 | aceptar y continuar gratis
    5 | powered by sgalinski cookie opt in
    5 | anbieterliste
    5 | lagre ogeller få tilgang til informasjon på en enhet
    5 | informativa privacy
    5 | terze parti selezionate
    5 | listado completo de finalidades
    5 | sus 979 socios
    5 | ya tengo mi id de perfil para navegar sin cookies
    5 | gestion des cookies
    5 | marketing marketing
    5 | wirtualna polska
    5 | für 2,99 €monat abonnieren
    5 | mes préférences
    5 | hinweis schließen
    5 | lass mich wählen
    5 | nastavenia
    5 | technisch notwendig
    5 | alle zulassen und fortsetzen
    5 | individual privacy settings
    5 | alle details zu youtube
    5 | okej
    5 | webbplatser och appar där bonnier news ab tillhandahåller sina tjänster
    5 | click aquí
    5 | configurar tus preferencias aquí
    5 | zustimmung zurückziehen
    5 | çerez politikası
    5 | mehr details
    5 | externe inhalte anzeigen (z.b. soziale medien, quiz)
    5 | generierung einer user-id auf basis ihrer e-mail-adresse
    5 | empfangen und verwenden automatisch gesendeter geräteinformationen zum zweck der identifikation
    5 | personalisierte anzeigen und inhalte, anzeigen- und inhaltsmessungen, erkenntnisse über zielgruppen und produktentwicklungen
    5 | actively scan device characteristics for identification
    5 | use precise geolocation data
    5 | accetto i cookie
    5 | opzioni cookie
    5 | acconsento
    5 | déjà abonné ? se connecter
    5 | je refuse et je mabonne
    5 | gymkhana geschicklichkeitsreiten
    4 | ich nehme an
    4 | choose
    4 | alle anbieter akzeptieren
    4 | continua
    4 | données personnelles
    4 | threads
    4 | meta ai
    4 | ray-ban meta
    4 | meta quest
    4 | meta store
    4 | meta pay
    4 | video
    4 | facebook lite
    4 | messenger
    4 | more languages…
    4 | español
    4 | shqip
    4 | português (portugal)
    4 | français (france)
    4 | create new account
    4 | zásady cookies
    4 | příjmout
    4 | akzeptieren schließen
    4 | notwendige
    4 | done_all accept
    4 | tune configure
    4 | akzeptieren fortfahren
    4 | sauvegarder mes choix
    4 | datenschutzbedingungen
    4 | weiterfahren
    4 | für weitere informationen lesen sie bitte unsere datenschutzerklärung.
    4 | statistics statistics
    4 | ablehnen oder einstellungen
    4 | alle bestätigen
    4 | skip consent
