=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/NL/3p-crawl
Date: 2026-03-27T14:43:15.088Z

--- Summary ---
Total JSON files: 99906
Files with potential popups: 82152
Total potential popups: 123410
  └─ AI-confirmed cookie popups: 42571
      └─ No reject buttons: 19505
          └─ No settings buttons: 11830 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 5167 entries) ---
Count | Button Text
    5 | bekijk onze cookiepagina
    5 | meer informatie over cookies op deze website
    5 | ustawienia prywatności
    5 | polityce cookies
    5 | окей
    5 | куки
    5 | anmelden
    5 | cookies auswählen
    5 | datenschutzrichtlinie
    5 | verberg deze melding
    5 | no, thank you
    5 | cookies niet toestaan
    5 | selectie opslaan
    5 | tillad udvalgte
    5 | tillad alle cookies
    5 | verstanden
    5 | verder gaan
    5 | keuze opslaan
    5 | leer meer…
    5 | check privacy policy
    5 | datenschutzhinweise (pur)
    5 | parceiros
    5 | aceitar
    5 | accepter tout
    5 | lees meer over het gebruik van persoonlijke gegevens
    5 | lees hier onze cookieverklaring
    5 | details anzeigen
    5 | our 972 partners
    5 | our 127 partners
    5 | закрыть
    5 | prosseguir
    5 | aviso de privacidade
    5 | cookies notice
    5 | gelezen
    5 | allow selected
    5 | wat zijn cookies?
    5 | avslå
    5 | i accept cookies
    5 | list of our partners
    5 | accetta tutti i cookie
    5 | więcej opcji
    5 | cookieinstellingen
    5 | ik wil meer informatie
    5 | datenschutzbestimmungen
    5 | maggiori informazioni
    5 | ustawienia
    5 | akceptuj wszystkie
    5 | preferenze
    5 | akkoord en ga verder
    5 | deze website onmiddelijk verlaten door hier te klikken.
    5 | ja, ik geef toestemming
    5 | политике обработки персональных данных
    5 | our 35 partners
    5 | cookie-instellingen aanpassen
    5 | gegevensbescherming
    5 | privacy-instellingen
    5 | afwijzen en sluiten
    5 | aceitar todos os cookies
    5 | handmatig instellen
    5 | allow selected cookies
    5 | disclaimer en privacybeleid
    5 | cookiepolicy
    5 | accepter alle cookies
    5 | .
    5 | individual privacy preferences
    5 | pay to reject faqs
    5 | cookie disclaimer
    5 | complete provides personalized content and uses marketing cookies.
    5 | standard provides optimal operation and uses video cookies, among others.
    5 | functional provides basic functions and uses anonymized cookies.
    5 | geen marketing
    5 | 2 partners
    5 | liste de nos partenaires (fournisseurs)
    5 | einstellungen ändern
    5 | liste complète
    5 | tietosuoja
    5 | listado completo de finalidades
    5 | sus 979 socios
    5 | ya tengo mi id de perfil para navegar sin cookies
    5 | accept all continue
    5 | tümünü kabul et
    5 | privacy instellingen
    5 | alle auswählen
    5 | accepteer alleen noodzakelijke
    5 | already a contentpass user? log in here
    5 | für 2,99 €monat abonnieren
    5 | cookie policy page
    5 | nutzung der utiq-technologie, unterstützt durch ihren telekommunikationsanbieter
    5 | datenschutzerklärung von utiq
    5 | utiq jetzt ablehnen
    5 | unterstützte internetverbindung
    5 | über 600 andere websites
    5 | più opzioni
    5 | nee, zet mijn cookies uit
    5 | asacp
    5 | sabonner
    5 | à quoi servent les cookies ?
    5 | partenaires (239)
    5 | instellingen en meer informatie
    5 | lees meer over ons cookiebeleid.
    5 | auswahl speichern
    5 | ja, prima
    5 | ohne werbetracking für 3.99 € monat
    5 | aquí
    5 | afficher les détails
    5 | einstellungen oder ablehnen
    5 | speichern von oder zugriff auf informationen auf einem endgerät
    5 | lista partnerów (dostawców)
    5 | our 13 partners
    5 | configuración de cookies
    5 | lees hier
    5 | partnern
    5 | personalised advertising, advertising measurement, audience research and services development
    4 | 同意
    4 | cookieverklaring.
    4 | refuser et sabonner
    4 | paramétrer les cookies
    4 | click here to learn more about implementing rta labeling.
    4 | click here to read our terms and conditions
    4 | zaakceptuj wszystkie
    4 | политикой использования cookies
    4 | ja, ik wil updates
    4 | our 11 partners
    4 | læs mere
    4 | политика конфиденциальности
    4 | cookie-файлы
    4 | погоджуюсь
    4 | персональных данных
    4 | пользовательским соглашением
    4 | widerrufen
    4 | show details.
    4 | leer meer
    4 | google privacy policy
    4 | terms and conditions of use
    4 | oke, ga door
    4 | not accept
    4 | cookie voorkeuren
    4 | nee, geen marketing cookies
    4 | privacy cookie notice.
    4 | privacy cookies beleid
    4 | extra informatie
    4 | privacy voorkeuren
    4 | nastavení
    4 | naszych partnerów reklamowych (1018)
    4 | okej
    4 | webbplatser och appar där bonnier news ab tillhandahåller sina tjänster
    4 | datenschutzinformationszentrum
    4 | disallow cookies
    4 | cookie- en privacyverklaring
    4 | negeren
    4 | weiger niet-essentieel
    4 | meer info over cookies
    4 | odrzuć wszystkie
    4 | o plikach cookies
    4 | szczegóły
    4 | tillad valgte
    4 | socios
    4 | only functional
    4 | fermer
    4 | aceptar y cerrar
    4 | meer informatie en aanpassen
    4 | cookie information opent in nieuw tabblad
    4 | kabul ediyorum
    4 | portal da privacidade
    4 | отклонить
    4 | pas uw keuze aan
    4 | abonneren weigeren
    4 | technisch
    4 | onze 979 partners
    4 | nodige cookies
    4 | ja, ik accepteer de cookies
    4 | dat is goed
    4 | beperkt toestaan
    4 | learn more and manage consent
    4 | bewaar instellingen
    4 | policy
    4 | voorkeur aanpassen
    4 | nem fogadom el
    4 | select all
    4 | tutaj
    4 | partnerzy
    4 | leer meer.…
    4 | spersonalizuj
    4 | submit
    4 | ja, is goed
    4 | understood
    4 | cookie-richtlinien
    4 | what is it?
    4 | okay, understood.
    4 | okay, got it
    4 | beleegyezés
    4 | cookiescript
    4 | individual settings
    4 | enter website
    4 | meer informatie over het cookiebeleid
    4 | inloggen
    4 | afwijzen optioneel
    4 | cookieprofielen
    4 | akkoord, melding sluiten
    4 | sluit melding
    4 | geavanceerd
    4 | abschnitt einzelheiten
    4 | anzeigeneinstellungen
    4 | meer
    4 | continue without accepting x
    4 | godta
    4 | confirm enter
    4 | individuele instellingen
    4 | i disagree
    4 | instellingen bewerken
    4 | our 5 partners
    4 | файлов cookie
    4 | no, give me more info
    4 | details weergeven..
    4 | cookies aanvaarden
    4 | aanmelden
    4 | aydınlatma metnimizi
    4 | çerez
    4 | aceitar e fechar
    4 | nõustun
    4 | meer info?
    4 | privacy page
    4 | informazioni sui cookie
    4 | súhlasím
    4 | pokračovať s nevyhnutnými cookies
    4 | tc
    4 | voir les conditions de loffre
    4 | cliquant ici
    4 | συμφωνώ
    4 | ich lehne ab
    4 | view our cookie policy
    4 | sivustoilla
    4 | kumppaneineen (86)
    4 | 126 technology partners
    4 | privacy pagina
    4 | i accept all cookies
    4 | is goed
    4 | lees meer over onze cookies.
    4 | ich stimme zu
    4 | abonnementsvoorwaarden
    4 | gebruikers-
    4 | acceptar
    4 | opties
    4 | rozumím a přijímám
    4 | aceptar y continuar gratis
    4 | 488 partner
    4 | oke!
    4 | niet-essentiële cookies weigeren
    4 | no thanks, only essential cookies
    4 | refuser sabonner
    4 | nos 254 partenaires
    4 | hyväksyn
    4 | uniconsent
    4 | withdraw
    4 | tcs
    4 | 435 partners
    4 | reject go ad-free
    4 | personalisierte anzeigen und inhalte, anzeigen- und inhaltsmessungen, erkenntnisse über zielgruppen und produktentwicklungen
    4 | çerez ayarları
    4 | our 8 partners
    4 | opzioni cookie
    4 | link
    4 | 191
    4 | jetzt details ansehen
    4 | dat wil ik niet
    4 | jetzt testen
    4 | ich bin einverstanden
    4 | widerrufsbelehrung
    4 | cookie-policy
    4 | vertragsbedingungen
    4 | selection of personalised content and content measurement
    4 | create profiles to personalise content
    3 | відхилити
    3 | cookie consent tool
    3 | over cookie
    3 | données personnelles
    3 | qui
    3 | okee
    3 | zobrazit předvolby
    3 | příjmout
    3 | sta alle cookies toe
    3 | leave site
    3 | set up
    3 | blokkeer alle cookies
    3 | personalizează
    3 | alleen essentiële cookies accepteren
    3 | preferenze cookies
    3 | læs mere om cookies
    3 | αποδοχή
    3 | ja, ik accepteer
    3 | nee, geen cookies
    3 | detailed settings
    3 | more info.
    3 | meer informatie over cookies of je keuze aanpassen?
    3 | покажете подробности
    3 | приемете всички
    3 | прочетете още
    3 | our 9 partners
    3 | nee dank je
    3 | sluit deze melding
    3 | only accept required
    3 | choose what to accept
    3 | find out more.
    3 | open settings
    3 | accepteer alleen essentiële cookies
    3 | dat is oké
    3 | detalii
    3 | pas voorkeuren aan
    3 | learn more about our cookie policy
    3 | modify cookie preferences
    3 | permite toate
    3 | fr
    3 | пользовательское соглашение
    3 | sluit cookiemelding
    3 | ons privacybeleid
    3 | know more
    3 | legal warning
    3 | subscribe and decline
    3 | our 980 partners
    3 | non
    3 | i do not accept the use of cookies
    3 | i understand and i accept the use of cookies
    3 | click here.
    3 | english (us)
    3 | verstanden!
    3 | liste unserer partner
    3 | privatsphäre-einstellungen
    3 | cookies zulassen
    3 | privacy page.
    3 | alles accepteren en sluiten
    3 | aanpassen of weigeren
    3 | ajustes
    3 | согласие
    3 | oké, sluiten!
    3 | agree and continue
    3 | hallitse evästeitä
    3 | mee eens
    3 | enkel essentiële cookies aanvaarden
    3 | manage preference
    3 | more info...
    3 | tilpas
    3 | privacybeleid van google
    3 | alv
    3 | register
    3 | opt-out
    3 | see more
    3 | no, manage settings
    3 | essential only cookies
    3 | saiba mais
    3 | termos de uso
    3 | instellingen tonen
    3 | jai compris
    3 | موافق
    3 | تخصيص
    3 | sinscrire
    3 | quitter
    3 | only neccessary
    3 | terms info
    3 | узнать больше
    3 | meer uitleg
    3 | i do not agree
    3 | columbia university website cookie notice
    3 | ne prihvaćam
    3 | prihvaćam
    3 | privacy cookies
    3 | kies cookies
    3 | rendben
    3 | lees meer over ons privacybeleid
    3 | only allow essential cookies
    3 | okay!
    3 | akkoord sluiten
    3 | zelf kiezen
    3 | integritetspolicy
    3 | политики конфиденциальности
    3 | podívejte se na našich 54 partnerů
    3 | privatlivspolitik
    3 | view more
    3 | akceptuj wszystko
    3 | politique relative aux cookies
    3 | to refuse
    3 | login here!
    3 | ad free for 3,99€ month
    3 | politica sui cookie
    3 | keuzes bevestigen
    3 | cookievoorwaarden
    3 | αποδοχη ολων
    3 | ja, geen probleem
    3 | impressum und datenschutzerklärung
    3 | przeczytaj o polityce prywatności
    3 | institutions
    3 | oké, sluiten
    3 | política de cookies.
    3 | only functional cookies
    3 | set yourself
    3 | beheer instellingen
    3 | sutinku
    3 | details section
    3 | cookie-richtlinie
    3 | a sütikről
    3 | részletek
    3 | instellingen of weigeren
    3 | cookiebalk sluiten
    3 | entrer
    3 | прихватам
    3 | приказ сврха
    3 | листа партнера (добављача)
    3 | keeldun
    3 | no, take me to settings
    3 | подтверждаю
    3 | accept recommended settings
    3 | unsere 1014 partner
    3 | nee, bedankt.
    3 | see more detailed preferences
    3 | alles ontkennen
    3 | derden
    3 | gegevensbeschermingsverklaring
    3 | pas instellingen aan
