=== Non-Rejectable Cookie Popup Button Analysis ===
Input directory: /mnt/efs/shared/crawler-data/autoconsent-coverage-crawls/2026-03-04/DE/3p-crawl
Date: 2026-03-27T12:19:43.855Z

--- Summary ---
Total JSON files: 99917
Files with potential popups: 81247
Total potential popups: 129767
  └─ AI-confirmed cookie popups: 47325
      └─ No reject buttons: 20832
          └─ No settings buttons: 16991 (aka non-rejectable cookie notices)

--- Button Text Distribution (cleaned, all 6136 entries) ---
Count | Button Text
   16 | ja, ich stimme zu
   16 | cookiescript
   16 | nicht erlauben
   16 | cookie-richtlinie.
   16 | datenschutz-optionen
   16 | zustimmung zurückziehen
   16 | tracking
   16 | nur essenzielle zulassen
   16 | statistiken
   16 | cookie-einstellungen verwalten
   16 | i
   15 | подробнее
   15 | wordpress.com-netzwerk
   15 | ja, ich will alle inhalte und cookies freischalten
   15 | einbindung von externen inhalten für journalistische zwecke
   15 | listă parteneri (furnizori)
   15 | nur auswahl akzeptieren
   15 | cookie-hinweis
   15 | accept and continue
   15 | informationen zu cookies
   15 | leave
   15 | alles klar
   15 | kabul et
   15 | unbedingt erforderliche cookies
   15 | rifiuta e abbonati
   15 | jetzt details ansehen
   15 | nein, einstellungen öffnen
   15 | ja, verstanden
   15 | vertragsbedingungen
   15 | select all
   15 | lernen sie mehr
   15 | afvis alle
   15 | cookie-einstellungen öffnen
   15 | werbefrei lesen
   15 | ausgewählte akzeptieren
   15 | https:policies.google.comprivacy?hl=degl=de
   14 | political advertising
   14 | aici
   14 | sonstiges
   14 | häufig gestellten fragen (faq)
   14 | my-account-bereich
   14 | ja, alles erlauben
   14 | einstellung speichern
   14 | polityce prywatności
   14 | funktionelle cookies
   14 | leistungs-cookies
   14 | cookies für marketingzwecke
   14 | weitere informationen...
   14 | learn more...
   14 | einverstanden!
   14 | cookie-einstellungen ändern
   14 | dismiss
   14 | precise geolocation data, and identification through device scanning
   14 | ja, alle erlauben
   14 | zu den einstellungen
   14 | en savoir plus
   14 | link
   14 | mehr information
   14 | messung der performance von inhalten
   14 | messung der werbeleistung
   14 | verwendung von profilen zur auswahl personalisierter inhalte
   14 | analyse
   14 | mehr zum pur-abo
   13 | analyse cookies, analyse speicherung
